taxi.data_prog_dayofmonth.zone_id,taxi.data_prog_dayofmonth.year,taxi.data_prog_dayofmonth.month,taxi.data_prog_dayofmonth.day,taxi.data_prog_dayofmonth.count
1,2013,1,10,7132
1,2013,4,11,8909
1,2013,7,12,7297
1,2013,10,13,8413
1,2010,3,12,5185
1,2010,6,13,7091
1,2010,9,14,5680
1,2010,12,15,5317
1,2011,2,22,7173
1,2011,5,23,8462
1,2011,8,24,7487
1,2011,11,25,4784
1,2012,2,1,5420
1,2012,5,2,7040
1,2012,8,3,7217
1,2012,11,4,7217
1,2013,1,11,7210
1,2013,4,12,7803
1,2013,7,13,6488
1,2013,10,14,10179
1,2010,3,13,4280
1,2010,6,14,8126
1,2010,9,15,6010
1,2010,12,16,5670
1,2011,2,23,5659
1,2011,5,24,7250
1,2011,8,25,7437
1,2011,11,26,7023
1,2012,2,2,5434
1,2012,5,3,7199
1,2012,8,4,6338
1,2012,11,5,7617
1,2013,1,12,6710
1,2013,4,13,6588
1,2013,7,14,8059
1,2013,10,15,8818
1,2010,3,14,6467
1,2010,6,15,6533
1,2010,9,16,5934
1,2010,12,17,5952
1,2011,2,24,6015
1,2011,5,25,6873
1,2011,8,26,7810
1,2011,11,27,9447
1,2012,2,3,5735
1,2012,5,4,7484
1,2012,8,5,7589
1,2012,11,6,6680
1,2013,1,13,7731
1,2013,4,14,8120
1,2013,7,15,9001
1,2013,10,16,8311
1,2010,3,15,7412
1,2010,6,16,6475
1,2010,9,17,6466
1,2010,12,18,5204
1,2011,2,25,6152
1,2011,5,26,7165
1,2011,8,27,2148
1,2011,11,28,10365
1,2012,2,4,4707
1,2012,5,5,6256
1,2012,8,6,9332
1,2012,11,7,4659
1,2013,1,14,8702
1,2013,4,15,8968
1,2013,7,16,7242
1,2013,10,17,8800
1,2010,3,16,5862
1,2010,6,17,6552
1,2010,9,18,6504
1,2010,12,19,5589
1,2011,2,26,5285
1,2011,5,27,7238
1,2011,8,28,10
1,2011,11,29,8212
1,2012,2,5,5980
1,2012,5,6,7456
1,2012,8,7,7591
1,2012,11,8,8142
1,2013,1,15,6760
1,2013,4,16,7416
1,2013,7,17,7174
1,2013,10,18,8745
1,2010,3,17,5450
1,2010,6,18,6687
1,2010,9,19,11269
1,2010,12,20,5507
1,2011,2,27,6634
1,2011,5,28,6008
1,2011,8,29,6751
1,2011,11,30,7042
1,2012,2,6,7105
1,2012,5,7,8869
1,2012,8,8,7062
1,2012,11,9,8193
1,2013,1,16,6527
1,2013,4,17,7229
1,2013,7,18,7536
1,2013,10,19,7158
1,2010,3,18,5669
1,2010,6,19,5696
1,2010,9,20,9044
1,2010,12,21,4918
1,2011,2,28,7795
1,2011,5,29,5659
1,2011,8,30,8865
1,2012,2,7,5396
1,2012,5,8,6999
1,2012,8,9,7019
1,2012,11,10,6271
1,2013,1,17,7105
1,2013,4,18,7538
1,2013,7,19,7680
1,2013,10,20,8977
1,2010,3,19,5704
1,2010,6,20,7292
1,2010,9,21,7650
1,2010,12,22,5375
1,2011,5,30,8565
1,2011,8,31,7951
1,2011,12,1,7005
1,2012,2,8,5539
1,2012,5,9,6904
1,2012,8,10,8045
1,2012,11,11,7659
1,2013,1,18,6970
1,2013,4,19,8035
1,2013,7,20,6662
1,2013,10,21,9307
1,2010,3,20,4918
1,2010,6,21,7943
1,2010,9,22,7278
1,2010,12,23,5467
1,2011,5,31,8975
1,2011,9,1,7652
1,2011,12,2,6899
1,2012,2,9,6101
1,2012,5,10,7336
1,2012,8,11,7175
1,2012,11,12,8264
1,2013,1,19,6162
1,2013,4,20,6820
1,2013,7,21,8182
1,2013,10,22,7852
1,2010,3,21,6550
1,2010,6,22,6573
1,2010,9,23,8350
1,2010,12,24,4106
1,2011,6,1,7481
1,2011,9,2,8012
1,2011,12,3,5721
1,2012,2,10,6644
1,2012,5,11,7376
1,2012,8,12,8065
1,2012,11,13,8083
1,2013,1,20,6420
1,2013,4,21,7917
1,2013,7,22,9184
1,2013,10,23,8001
1,2010,3,22,6747
1,2010,6,23,6753
1,2010,9,24,8256
1,2010,12,25,3809
1,2011,3,1,6599
1,2011,6,2,6938
1,2011,9,3,6718
1,2011,12,4,7130
1,2012,2,11,5486
1,2012,5,12,6396
1,2012,8,13,8973
1,2012,11,14,7536
1,2013,1,21,9041
1,2013,4,22,8977
1,2013,7,23,8175
1,2013,10,24,8352
1,2010,3,23,6283
1,2010,6,24,6638
1,2010,9,25,7586
1,2010,12,26,2677
1,2011,3,2,6341
1,2011,6,3,6623
1,2011,9,4,7086
1,2011,12,5,7663
1,2012,2,12,6811
1,2012,5,13,7838
1,2012,8,14,7506
1,2012,11,15,8215
1,2013,1,22,8497
1,2013,4,23,8139
1,2013,7,24,8114
1,2013,10,25,8349
1,2010,3,24,5201
1,2010,6,25,7279
1,2010,9,26,9019
1,2010,12,27,1288
1,2011,3,3,6051
1,2011,6,4,6021
1,2011,9,5,9303
1,2011,12,6,6577
1,2012,2,13,7267
1,2012,5,14,9224
1,2012,8,15,7612
1,2012,11,16,8464
1,2013,1,23,6925
1,2013,4,24,7296
1,2013,7,25,7618
1,2013,10,26,6906
1,2010,3,25,5766
1,2010,6,26,5958
1,2010,9,27,6815
1,2010,12,28,6990
1,2011,3,4,6544
1,2011,6,5,8048
1,2011,9,6,8542
1,2011,12,7,6095
1,2012,2,14,5827
1,2012,5,15,7500
1,2012,8,16,8247
1,2012,11,17,6991
1,2013,1,24,7776
1,2013,4,25,8260
1,2013,7,26,7591
1,2013,10,27,8586
1,2010,3,26,5577
1,2010,6,27,7188
1,2010,9,28,6288
1,2010,12,29,8211
1,2011,3,5,5459
1,2011,6,6,8697
1,2011,9,7,7668
1,2011,12,8,7154
1,2012,2,15,6306
1,2012,5,16,7773
1,2012,8,17,8058
1,2012,11,18,7746
1,2013,1,25,7409
1,2013,4,26,8193
1,2013,7,27,6249
1,2013,10,28,9139
1,2010,3,27,4651
1,2010,6,28,7895
1,2010,9,29,5984
1,2010,12,30,7494
1,2011,3,6,6228
1,2011,6,7,7650
1,2011,9,8,8123
1,2011,12,9,7010
1,2012,2,16,6612
1,2012,5,17,7774
1,2012,8,18,6972
1,2012,11,19,7570
1,2013,1,26,6616
1,2013,4,27,6767
1,2013,7,28,7852
1,2013,10,29,7239
1,2010,3,28,4908
1,2010,6,29,6609
1,2010,9,30,5587
1,2010,12,31,7052
1,2011,3,7,8748
1,2011,6,8,6686
1,2011,9,9,7406
1,2011,12,10,5561
1,2012,2,17,7123
1,2012,5,18,7558
1,2012,8,19,8388
1,2012,11,20,7255
1,2013,1,27,7617
1,2013,4,28,8407
1,2013,7,29,9145
1,2013,10,30,7451
1,2010,3,29,5801
1,2010,6,30,6315
1,2011,3,8,6055
1,2011,6,9,6190
1,2011,9,10,6334
1,2011,12,11,6867
1,2012,2,18,5592
1,2012,5,19,6251
1,2012,8,20,9171
1,2012,11,21,7253
1,2013,1,28,8216
1,2013,4,29,9361
1,2013,7,30,7373
1,2013,10,31,7622
1,2010,3,30,5355
1,2010,10,1,2746
1,2011,3,9,5923
1,2011,6,10,8329
1,2011,9,11,7462
1,2011,12,12,7555
1,2012,2,19,5886
1,2012,5,20,7992
1,2012,8,21,7734
1,2012,11,22,5214
1,2013,1,29,6446
1,2013,4,30,8060
1,2013,7,31,7105
1,2013,11,1,7810
1,2010,3,31,5492
1,2010,7,1,6366
1,2010,10,2,2119
1,2011,3,10,5632
1,2011,6,11,5941
1,2011,9,12,8586
1,2011,12,13,6109
1,2012,2,20,8609
1,2012,5,21,8857
1,2012,8,22,7602
1,2012,11,23,5209
1,2013,1,30,5859
1,2013,8,1,4115
1,2013,11,2,6254
1,2010,4,1,6447
1,2010,7,2,5994
1,2010,10,3,2766
1,2011,3,11,7470
1,2011,6,12,7590
1,2011,9,13,7128
1,2011,12,14,6418
1,2012,2,21,7832
1,2012,5,22,7251
1,2012,8,23,8046
1,2012,11,24,7394
1,2013,1,31,6785
1,2013,5,1,8212
1,2013,8,2,3518
1,2013,11,3,8093
1,2010,1,1,4789
1,2010,4,2,5492
1,2010,7,3,4701
1,2010,10,4,7073
1,2011,3,12,5558
1,2011,6,13,8669
1,2011,9,14,7178
1,2011,12,15,6621
1,2012,2,22,6627
1,2012,5,23,7452
1,2012,8,24,8168
1,2012,11,25,10810
1,2013,2,1,6647
1,2013,5,2,8088
1,2013,8,3,3085
1,2013,11,4,9133
1,2010,1,2,5418
1,2010,4,3,4396
1,2010,7,4,4953
1,2010,10,5,6122
1,2011,3,13,7277
1,2011,6,14,6929
1,2011,9,15,7701
1,2011,12,16,6708
1,2012,2,23,7003
1,2012,5,24,7659
1,2012,8,25,7732
1,2012,11,26,11530
1,2013,2,2,5452
1,2013,5,3,8157
1,2013,8,4,3793
1,2013,11,5,7454
1,2010,1,3,6884
1,2010,4,4,5836
1,2010,7,5,7291
1,2010,10,6,5898
1,2011,3,14,7674
1,2011,6,15,6721
1,2011,9,16,7888
1,2011,12,17,5595
1,2012,2,24,6726
1,2012,5,25,7202
1,2012,8,26,8335
1,2012,11,27,8619
1,2013,2,3,6934
1,2013,5,4,6462
1,2013,8,5,8835
1,2013,11,6,7262
1,2010,1,4,7530
1,2010,4,5,6695
1,2010,7,6,7760
1,2010,10,7,6287
1,2011,3,15,6503
1,2011,6,16,6765
1,2011,9,17,6559
1,2011,12,18,6119
1,2012,2,25,5820
1,2012,5,26,5536
1,2012,8,27,8955
1,2012,11,28,7589
1,2013,2,4,7744
1,2013,5,5,8448
1,2013,8,6,7586
1,2013,11,7,7873
1,2010,1,5,6269
1,2010,4,6,6380
1,2010,7,7,5961
1,2010,10,8,6394
1,2011,3,16,6628
1,2011,6,17,6592
1,2011,9,18,8171
1,2011,12,19,6080
1,2012,2,26,7308
1,2012,5,27,5846
1,2012,8,28,8043
1,2012,11,29,7195
1,2013,2,5,6300
1,2013,5,6,9149
1,2013,8,7,7387
1,2013,11,8,8021
1,2010,1,6,5410
1,2010,4,7,6269
1,2010,7,8,5567
1,2010,10,9,5251
1,2011,3,17,6932
1,2011,6,18,6907
1,2011,9,19,8550
1,2011,12,20,5244
1,2012,2,27,8681
1,2012,5,28,8779
1,2012,8,29,7659
1,2012,11,30,7467
1,2013,2,6,5910
1,2013,5,7,7778
1,2013,8,8,7789
1,2013,11,9,6442
1,2010,1,7,5257
1,2010,4,8,5895
1,2010,7,9,5927
1,2010,10,10,6425
1,2011,3,18,6867
1,2011,6,19,7941
1,2011,9,20,7030
1,2011,12,21,5626
1,2012,2,28,7140
1,2012,5,29,8898
1,2012,8,30,8246
1,2013,2,7,6700
1,2013,5,8,7564
1,2013,8,9,8036
1,2013,11,10,8089
1,2010,1,8,4962
1,2010,4,9,5930
1,2010,7,10,5299
1,2010,10,11,6896
1,2011,3,19,6122
1,2011,6,20,8891
1,2011,9,21,6718
1,2011,12,22,5770
1,2012,2,29,7035
1,2012,5,30,8487
1,2012,8,31,8358
1,2012,12,1,6479
1,2013,2,8,3693
1,2013,5,9,8297
1,2013,8,10,6925
1,2013,11,11,9198
1,2010,1,9,4667
1,2010,4,10,4653
1,2010,7,11,7436
1,2010,10,12,7265
1,2011,3,20,7850
1,2011,6,21,6668
1,2011,9,22,7077
1,2011,12,23,5380
1,2012,5,31,7273
1,2012,9,1,7337
1,2012,12,2,7603
1,2013,2,9,5317
1,2013,5,10,7595
1,2013,8,11,4517
1,2013,11,12,7408
1,2010,1,10,5791
1,2010,4,11,6106
1,2010,7,12,8459
1,2010,10,13,5779
1,2011,3,21,8290
1,2011,6,22,6920
1,2011,9,23,7401
1,2011,12,24,4115
1,2012,6,1,7373
1,2012,9,2,7213
1,2012,12,3,8442
1,2013,2,10,7627
1,2013,5,11,6457
1,2013,8,12,9416
1,2013,11,13,6806
1,2010,1,11,5976
1,2010,4,12,6490
1,2010,7,13,7538
1,2010,10,14,5931
1,2011,3,22,6743
1,2011,6,23,7229
1,2011,9,24,6219
1,2011,12,25,3787
1,2012,3,1,7188
1,2012,6,2,6376
1,2012,9,3,9946
1,2012,12,4,6718
1,2013,2,11,8105
1,2013,5,12,8570
1,2013,8,13,8057
1,2013,11,14,7290
1,2010,1,12,5061
1,2010,4,13,5776
1,2010,7,14,7761
1,2010,10,15,6388
1,2011,3,23,6147
1,2011,6,24,7447
1,2011,9,25,7815
1,2011,12,26,6927
1,2012,3,2,7036
1,2012,6,3,8285
1,2012,9,4,11189
1,2012,12,5,7081
1,2013,2,12,6975
1,2013,5,13,8987
1,2013,8,14,7904
1,2013,11,15,7641
1,2010,1,13,4793
1,2010,4,14,5914
1,2010,7,15,7606
1,2010,10,16,4946
1,2011,3,24,6864
1,2011,6,25,6234
1,2011,9,26,7950
1,2011,12,27,7272
1,2012,3,3,5858
1,2012,6,4,8825
1,2012,9,5,10209
1,2012,12,6,7665
1,2013,2,13,6067
1,2013,5,14,7367
1,2013,8,15,8191
1,2013,11,16,6194
1,2010,1,14,5134
1,2010,4,15,5983
1,2010,7,16,7251
1,2010,10,17,6756
1,2011,3,25,6901
1,2011,6,26,7568
1,2011,9,27,6594
1,2011,12,28,8480
1,2012,3,4,7350
1,2012,6,5,7752
1,2012,9,6,9157
1,2012,12,7,7424
1,2013,2,14,6417
1,2013,5,15,7578
1,2013,8,16,8531
1,2013,11,17,7863
1,2010,1,15,5303
1,2010,4,16,5882
1,2010,7,17,6308
1,2010,10,18,7035
1,2011,3,26,5534
1,2011,6,27,8537
1,2011,9,28,6191
1,2011,12,29,7343
1,2012,3,5,8567
1,2012,6,6,7013
1,2012,9,7,8834
1,2012,12,8,6234
1,2013,2,15,6775
1,2013,5,16,8138
1,2013,8,17,7329
1,2013,11,18,9180
1,2010,1,16,4407
1,2010,4,17,4154
1,2010,7,18,6348
1,2010,10,19,5871
1,2011,3,27,7318
1,2011,6,28,6706
1,2011,9,29,6775
1,2011,12,30,7529
1,2012,3,6,6845
1,2012,6,7,7541
1,2012,9,8,7623
1,2012,12,9,7811
1,2013,2,16,5870
1,2013,5,17,8286
1,2013,8,18,8696
1,2013,11,19,6759
1,2010,1,17,4536
1,2010,4,18,5511
1,2010,7,19,6706
1,2010,10,20,6070
1,2011,3,28,7837
1,2011,6,29,6728
1,2011,9,30,7040
1,2011,12,31,6187
1,2012,3,7,6600
1,2012,6,8,7217
1,2012,9,9,9333
1,2012,12,10,8480
1,2013,2,17,5833
1,2013,5,18,7321
1,2013,8,19,9509
1,2013,11,20,6986
1,2010,1,18,6615
1,2010,4,19,6599
1,2010,7,20,5966
1,2010,10,21,6057
1,2011,3,29,6628
1,2011,6,30,6648
1,2012,3,8,6979
1,2012,6,9,6101
1,2012,9,10,9485
1,2012,12,11,7139
1,2013,2,18,8745
1,2013,5,19,8710
1,2013,8,20,8281
1,2013,11,21,7587
1,2010,1,19,5748
1,2010,4,20,5773
1,2010,7,21,5529
1,2010,10,22,6204
1,2011,3,30,6388
1,2011,10,1,6497
1,2012,3,9,6828
1,2012,6,10,8078
1,2012,9,11,7351
1,2012,12,12,6931
1,2013,2,19,8218
1,2013,5,20,10079
1,2013,8,21,8424
1,2013,11,22,7816
1,2010,1,20,4904
1,2010,4,21,6110
1,2010,7,22,5687
1,2010,10,23,5011
1,2011,3,31,6602
1,2011,7,1,6817
1,2011,10,2,7533
1,2012,3,10,5940
1,2012,6,11,8881
1,2012,9,12,7538
1,2012,12,13,7493
1,2013,2,20,7022
1,2013,5,21,7163
1,2013,8,22,8585
1,2013,11,23,6871
1,2010,1,21,4582
1,2010,4,22,6307
1,2010,7,23,5459
1,2010,10,24,6663
1,2011,4,1,3044
1,2011,7,2,5169
1,2011,10,3,8703
1,2012,3,11,7646
1,2012,6,12,7221
1,2012,9,13,7957
1,2012,12,14,7544
1,2013,2,21,6877
1,2013,5,22,5991
1,2013,8,23,9139
1,2013,11,24,7007
1,2010,1,22,4803
1,2010,4,23,6238
1,2010,7,24,5388
1,2010,10,25,6932
1,2011,1,1,2433
1,2011,4,2,2490
1,2011,7,3,5065
1,2011,10,4,7192
1,2012,3,12,8724
1,2012,6,13,7089
1,2012,9,14,8381
1,2012,12,15,6181
1,2013,2,22,7279
1,2013,5,23,6405
1,2013,8,24,7825
1,2013,11,25,7094
1,2010,1,23,4020
1,2010,4,24,4770
1,2010,7,25,6748
1,2010,10,26,5534
1,2011,1,2,3332
1,2011,4,3,3331
1,2011,7,4,8134
1,2011,10,5,6754
1,2012,3,13,7140
1,2012,6,14,7357
1,2012,9,15,6668
1,2012,12,16,7108
1,2013,2,23,5659
1,2013,5,24,6317
1,2013,8,25,9201
1,2013,11,26,6523
1,2010,1,24,4790
1,2010,4,25,6135
1,2010,7,26,8868
1,2010,10,27,5562
1,2011,1,3,8067
1,2011,4,4,7894
1,2011,7,5,8581
1,2011,10,6,7176
1,2012,3,14,7150
1,2012,6,15,7323
1,2012,9,16,7913
1,2012,12,17,7996
1,2013,2,24,6938
1,2013,5,25,5022
1,2013,8,26,9912
1,2013,11,27,6659
1,2010,1,25,6079
1,2010,4,26,7231
1,2010,7,27,6584
1,2010,10,28,6259
1,2011,1,4,7180
1,2011,4,5,6701
1,2011,7,6,6507
1,2011,10,7,7337
1,2012,3,15,7795
1,2012,6,16,6173
1,2012,9,17,8708
1,2012,12,18,6738
1,2013,2,25,8422
1,2013,5,26,5247
1,2013,8,27,8503
1,2013,11,28,5262
1,2010,1,26,5081
1,2010,4,27,6028
1,2010,7,28,6357
1,2010,10,29,6137
1,2011,1,5,5983
1,2011,4,6,6251
1,2011,7,7,6005
1,2011,10,8,5823
1,2012,3,16,7682
1,2012,6,17,8275
1,2012,9,18,7738
1,2012,12,19,6887
1,2013,2,26,7292
1,2013,5,27,9468
1,2013,8,28,8033
1,2013,11,29,5631
1,2010,1,27,4712
1,2010,4,28,5712
1,2010,7,29,6662
1,2010,10,30,4862
1,2011,1,6,5296
1,2011,4,7,6105
1,2011,7,8,6275
1,2011,10,9,6878
1,2012,3,17,6754
1,2012,6,18,8954
1,2012,9,19,9040
1,2012,12,20,6924
1,2013,2,27,7152
1,2013,5,28,9553
1,2013,8,29,9124
1,2013,11,30,7579
1,2010,1,28,5176
1,2010,4,29,6090
1,2010,7,30,7104
1,2010,10,31,6216
1,2011,1,7,5039
1,2011,4,8,6601
1,2011,7,9,5749
1,2011,10,10,8532
1,2012,3,18,8331
1,2012,6,19,7468
1,2012,9,20,8225
1,2012,12,21,7260
1,2013,2,28,7320
