1,2010,12,171737
1,2011,1,171555
1,2011,2,156745
1,2011,3,207713
1,2011,4,194584
1,2011,5,225382
1,2011,6,216294
1,2011,7,214439
1,2011,8,209615
1,2011,9,222877
1,2011,10,224893
1,2011,11,210395
1,2011,12,198547
1,2012,1,201046
1,2012,2,187752
1,2012,3,230153
1,2012,4,226179
1,2012,5,231917
1,2012,6,226768
1,2012,7,228987
1,2012,8,243862
1,2012,9,249613
1,2012,10,238395
1,2012,11,227964
1,2012,12,221696
1,2013,1,231689
1,2010,1,163031
1,2013,2,189290
1,2010,2,114666
1,2013,3,240349
1,2010,3,147397
1,2013,4,238775
1,2010,4,177230
1,2013,5,239480
1,2010,5,200522
1,2013,6,238924
1,2010,6,201469
1,2013,7,235831
1,2010,7,201559
1,2013,8,236888
1,2010,8,177576
1,2013,9,255645
1,2010,9,193273
1,2013,10,259452
1,2010,10,179455
1,2013,11,219785
1,2010,11,180586
1,2013,12,233103
